index,Plate Number,Sample1,Sample2,Sample3,Sample4,Station1_status,Station2_status,Station3_status,Station4_status,Station5_status,Station6_status,total_time,time_in_step,time_target,start_time,end_time,add_time,cycle_time,method,staff_level,capacity_level
0.0,29.0,0.0,40.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,1380.0,10.0,15.0,7655.0,8090.0,7200.0,2420,PET (4),0,1
0.0,30.0,0.0,40.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,1380.0,10.0,15.0,7655.0,8105.0,7200.0,2420,PET (4),0,1
0.0,31.0,0.0,40.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,1380.0,10.0,15.0,7685.0,8120.0,7200.0,2420,PET (4),0,1
0.0,32.0,0.0,28.0,0.0,12.0,3.0,3.0,3.0,3.0,3.0,3.0,1380.0,10.0,15.0,7685.0,8135.0,7200.0,2420,PET (4),0,1
0.0,33.0,0.0,0.0,33.0,7.0,3.0,3.0,3.0,3.0,3.0,3.0,1380.0,5.0,15.0,8140.0,8575.0,7200.0,2420,PET (4),0,1
0.0,34.0,0.0,0.0,0.0,40.0,3.0,3.0,3.0,3.0,3.0,3.0,1380.0,15.0,15.0,7230.0,7665.0,7200.0,2420,PET (4),0,1
0.0,35.0,0.0,0.0,0.0,40.0,3.0,3.0,3.0,3.0,3.0,3.0,1380.0,15.0,15.0,7230.0,7680.0,7200.0,2420,PET (4),0,1
0.0,36.0,0.0,0.0,0.0,40.0,3.0,3.0,3.0,3.0,3.0,3.0,1380.0,15.0,15.0,7260.0,7695.0,7200.0,2420,PET (4),0,1
0.0,1.0,0.0,34.0,0.0,6.0,3.0,3.0,3.0,3.0,3.0,3.0,8110.0,10.0,15.0,0.0,435.0,0.0,1470,tOPS,0,1
0.0,2.0,0.0,0.0,39.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,8110.0,5.0,15.0,440.0,875.0,0.0,1470,tOPS,0,1
0.0,3.0,0.0,0.0,0.0,40.0,3.0,3.0,3.0,3.0,3.0,3.0,8110.0,10.0,15.0,0.0,450.0,0.0,1470,tOPS,0,1
0.0,4.0,0.0,0.0,0.0,13.0,3.0,3.0,3.0,3.0,3.0,3.0,8110.0,10.0,15.0,30.0,465.0,0.0,1470,tOPS,0,1
0.0,5.0,0.0,33.0,0.0,7.0,3.0,3.0,3.0,3.0,3.0,3.0,6670.0,10.0,15.0,1440.0,1875.0,1440.0,1470,tOPS,0,1
0.0,6.0,0.0,0.0,40.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,6670.0,5.0,15.0,1880.0,2315.0,1440.0,1470,tOPS,0,1
0.0,7.0,0.0,0.0,40.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,6670.0,5.0,15.0,1880.0,2330.0,1440.0,1470,tOPS,0,1
0.0,8.0,0.0,0.0,4.0,36.0,3.0,3.0,3.0,3.0,3.0,3.0,6670.0,5.0,15.0,1910.0,2345.0,1440.0,1470,tOPS,0,1
0.0,9.0,0.0,0.0,0.0,40.0,3.0,3.0,3.0,3.0,3.0,3.0,6670.0,10.0,15.0,1440.0,1890.0,1440.0,1470,tOPS,0,1
0.0,10.0,0.0,0.0,0.0,40.0,3.0,3.0,3.0,3.0,3.0,3.0,6670.0,10.0,15.0,1470.0,1905.0,1440.0,1470,tOPS,0,1
0.0,11.0,0.0,0.0,0.0,21.0,3.0,3.0,3.0,3.0,3.0,3.0,6670.0,10.0,15.0,1470.0,1920.0,1440.0,1470,tOPS,0,1
0.0,12.0,0.0,40.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,5230.0,10.0,15.0,2880.0,3315.0,2880.0,1470,tOPS,0,1
0.0,13.0,0.0,11.0,0.0,29.0,3.0,3.0,3.0,3.0,3.0,3.0,5230.0,10.0,15.0,2880.0,3330.0,2880.0,1470,tOPS,0,1
0.0,14.0,0.0,0.0,40.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,5230.0,5.0,15.0,3335.0,3770.0,2880.0,1470,tOPS,0,1
0.0,15.0,0.0,0.0,40.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,5230.0,5.0,15.0,3335.0,3785.0,2880.0,1470,tOPS,0,1
0.0,16.0,0.0,0.0,17.0,23.0,3.0,3.0,3.0,3.0,3.0,3.0,5230.0,5.0,15.0,3365.0,3800.0,2880.0,1470,tOPS,0,1
0.0,17.0,0.0,0.0,0.0,40.0,3.0,3.0,3.0,3.0,3.0,3.0,5230.0,10.0,15.0,2910.0,3345.0,2880.0,1470,tOPS,0,1
0.0,18.0,0.0,0.0,0.0,40.0,3.0,3.0,3.0,3.0,3.0,3.0,5230.0,10.0,15.0,2910.0,3360.0,2880.0,1470,tOPS,0,1
0.0,19.0,0.0,0.0,0.0,36.0,3.0,3.0,3.0,3.0,3.0,3.0,5230.0,10.0,15.0,2940.0,3375.0,2880.0,1470,tOPS,0,1
0.0,20.0,0.0,18.0,0.0,22.0,3.0,3.0,3.0,3.0,3.0,3.0,3790.0,10.0,15.0,4320.0,4755.0,4320.0,1470,tOPS,0,1
0.0,21.0,0.0,0.0,14.0,26.0,3.0,3.0,3.0,3.0,3.0,3.0,3790.0,5.0,15.0,4760.0,5195.0,4320.0,1470,tOPS,0,1
0.0,22.0,0.0,0.0,0.0,40.0,3.0,3.0,3.0,3.0,3.0,3.0,3790.0,10.0,15.0,4320.0,4770.0,4320.0,1470,tOPS,0,1
0.0,23.0,0.0,0.0,0.0,40.0,3.0,3.0,3.0,3.0,3.0,3.0,3790.0,10.0,15.0,4350.0,4785.0,4320.0,1470,tOPS,0,1
0.0,24.0,0.0,0.0,0.0,40.0,3.0,3.0,3.0,3.0,3.0,3.0,3790.0,10.0,15.0,4350.0,4800.0,4320.0,1470,tOPS,0,1
0.0,25.0,0.0,0.0,0.0,9.0,3.0,3.0,3.0,3.0,3.0,3.0,3790.0,10.0,15.0,4380.0,4815.0,4320.0,1470,tOPS,0,1
0.0,26.0,0.0,40.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,910.0,10.0,15.0,7200.0,7635.0,7200.0,1470,tOPS,0,1
0.0,27.0,0.0,35.0,0.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,910.0,10.0,15.0,7200.0,7650.0,7200.0,1470,tOPS,0,1
0.0,28.0,0.0,0.0,40.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,910.0,5.0,15.0,7655.0,8090.0,7200.0,1470,tOPS,0,1
0.0,29.0,0.0,0.0,40.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,910.0,5.0,15.0,7655.0,8105.0,7200.0,1470,tOPS,0,1
0.0,30.0,0.0,0.0,0.0,40.0,3.0,3.0,3.0,3.0,3.0,3.0,910.0,10.0,15.0,7230.0,7665.0,7200.0,1470,tOPS,0,1
0.0,31.0,0.0,0.0,0.0,40.0,3.0,3.0,3.0,3.0,3.0,3.0,910.0,10.0,15.0,7230.0,7680.0,7200.0,1470,tOPS,0,1
0.0,32.0,0.0,0.0,0.0,40.0,3.0,3.0,3.0,3.0,3.0,3.0,910.0,10.0,15.0,7260.0,7695.0,7200.0,1470,tOPS,0,1
0.0,33.0,0.0,0.0,0.0,25.0,3.0,3.0,3.0,3.0,3.0,3.0,910.0,10.0,15.0,7260.0,7710.0,7200.0,1470,tOPS,0,1
0.0,1.0,0.0,11.0,0.0,29.0,3.0,3.0,3.0,3.0,3.0,3.0,8160.0,15.0,15.0,0.0,435.0,0.0,1430,Fixed (20),1,0
0.0,2.0,0.0,0.0,40.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,8160.0,10.0,15.0,440.0,875.0,0.0,1430,Fixed (20),1,0
0.0,3.0,0.0,0.0,40.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,8160.0,5.0,15.0,440.0,895.0,0.0,1430,Fixed (20),1,0
0.0,4.0,0.0,0.0,20.0,20.0,3.0,3.0,3.0,3.0,3.0,3.0,8160.0,15.0,15.0,440.0,915.0,0.0,1430,Fixed (20),1,0
0.0,5.0,0.0,0.0,0.0,11.0,3.0,3.0,3.0,3.0,3.0,3.0,8160.0,10.0,15.0,0.0,455.0,0.0,1430,Fixed (20),1,0
0.0,6.0,0.0,13.0,0.0,27.0,3.0,3.0,3.0,3.0,3.0,3.0,6720.0,15.0,15.0,1440.0,1875.0,1440.0,1430,Fixed (20),1,0
0.0,7.0,0.0,0.0,40.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,6720.0,10.0,15.0,1880.0,2315.0,1440.0,1430,Fixed (20),1,0
0.0,8.0,0.0,0.0,40.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,6720.0,5.0,15.0,1880.0,2335.0,1440.0,1430,Fixed (20),1,0
0.0,9.0,0.0,0.0,40.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,6720.0,15.0,15.0,1880.0,2355.0,1440.0,1430,Fixed (20),1,0
0.0,10.0,0.0,0.0,20.0,20.0,3.0,3.0,3.0,3.0,3.0,3.0,6720.0,10.0,15.0,1910.0,2375.0,1440.0,1430,Fixed (20),1,0
0.0,11.0,0.0,0.0,0.0,40.0,3.0,3.0,3.0,3.0,3.0,3.0,6720.0,10.0,15.0,1440.0,1895.0,1440.0,1430,Fixed (20),1,0
0.0,12.0,0.0,0.0,0.0,40.0,3.0,3.0,3.0,3.0,3.0,3.0,6720.0,5.0,15.0,1440.0,1915.0,1440.0,1430,Fixed (20),1,0
0.0,13.0,0.0,0.0,0.0,17.0,3.0,3.0,3.0,3.0,3.0,3.0,6720.0,15.0,15.0,1470.0,1935.0,1440.0,1430,Fixed (20),1,0
0.0,14.0,0.0,15.0,0.0,25.0,3.0,3.0,3.0,3.0,3.0,3.0,5280.0,15.0,15.0,2880.0,3315.0,2880.0,1430,Fixed (20),1,0
0.0,15.0,0.0,0.0,40.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,5280.0,10.0,15.0,3320.0,3755.0,2880.0,1430,Fixed (20),1,0
0.0,16.0,0.0,0.0,40.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,5280.0,5.0,15.0,3320.0,3775.0,2880.0,1430,Fixed (20),1,0
0.0,17.0,0.0,0.0,40.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,5280.0,15.0,15.0,3320.0,3795.0,2880.0,1430,Fixed (20),1,0
0.0,18.0,0.0,0.0,40.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,5280.0,10.0,15.0,3350.0,3815.0,2880.0,1430,Fixed (20),1,0
0.0,19.0,0.0,0.0,27.0,13.0,3.0,3.0,3.0,3.0,3.0,3.0,5280.0,10.0,15.0,3350.0,3935.0,2880.0,1430,Fixed (20),1,0
0.0,20.0,0.0,0.0,0.0,40.0,3.0,3.0,3.0,3.0,3.0,3.0,5280.0,10.0,15.0,2880.0,3335.0,2880.0,1430,Fixed (20),1,0
0.0,21.0,0.0,0.0,0.0,40.0,3.0,3.0,3.0,3.0,3.0,3.0,5280.0,5.0,15.0,2880.0,3355.0,2880.0,1430,Fixed (20),1,0
0.0,22.0,0.0,0.0,0.0,40.0,3.0,3.0,3.0,3.0,3.0,3.0,5280.0,15.0,15.0,2910.0,3375.0,2880.0,1430,Fixed (20),1,0
0.0,23.0,0.0,0.0,0.0,10.0,3.0,3.0,3.0,3.0,3.0,3.0,5280.0,15.0,15.0,2910.0,3495.0,2880.0,1430,Fixed (20),1,0
0.0,24.0,0.0,10.0,0.0,30.0,3.0,3.0,3.0,3.0,3.0,3.0,3840.0,15.0,15.0,4320.0,4755.0,4320.0,1430,Fixed (20),1,0
0.0,25.0,0.0,0.0,40.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3840.0,10.0,15.0,4760.0,5195.0,4320.0,1430,Fixed (20),1,0
0.0,26.0,0.0,0.0,0.0,40.0,3.0,3.0,3.0,3.0,3.0,3.0,3840.0,10.0,15.0,4320.0,4775.0,4320.0,1430,Fixed (20),1,0
0.0,27.0,0.0,0.0,0.0,40.0,3.0,3.0,3.0,3.0,3.0,3.0,3840.0,5.0,15.0,4320.0,4795.0,4320.0,1430,Fixed (20),1,0
0.0,28.0,0.0,0.0,0.0,40.0,3.0,3.0,3.0,3.0,3.0,3.0,3840.0,15.0,15.0,4350.0,4815.0,4320.0,1430,Fixed (20),1,0
0.0,29.0,0.0,0.0,0.0,27.0,3.0,3.0,3.0,3.0,3.0,3.0,3840.0,15.0,15.0,4350.0,4935.0,4320.0,1430,Fixed (20),1,0
0.0,30.0,0.0,40.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,960.0,15.0,15.0,7200.0,7635.0,7200.0,1430,Fixed (20),1,0
0.0,31.0,0.0,2.0,0.0,38.0,3.0,3.0,3.0,3.0,3.0,3.0,960.0,10.0,15.0,7200.0,7655.0,7200.0,1430,Fixed (20),1,0
0.0,32.0,0.0,0.0,40.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,960.0,5.0,15.0,7660.0,8095.0,7200.0,1430,Fixed (20),1,0
0.0,33.0,0.0,0.0,40.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,960.0,15.0,15.0,7660.0,8115.0,7200.0,1430,Fixed (20),1,0
0.0,34.0,0.0,0.0,40.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,960.0,10.0,15.0,7660.0,8135.0,7200.0,1430,Fixed (20),1,0
0.0,35.0,0.0,0.0,40.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,960.0,5.0,15.0,7690.0,8155.0,7200.0,1430,Fixed (20),1,0
0.0,36.0,0.0,0.0,0.0,40.0,3.0,3.0,3.0,3.0,3.0,3.0,960.0,5.0,15.0,7200.0,7675.0,7200.0,1430,Fixed (20),1,0
0.0,37.0,0.0,0.0,0.0,40.0,3.0,3.0,3.0,3.0,3.0,3.0,960.0,15.0,15.0,7230.0,7695.0,7200.0,1430,Fixed (20),1,0
0.0,38.0,0.0,0.0,0.0,32.0,3.0,3.0,3.0,3.0,3.0,3.0,960.0,15.0,15.0,7230.0,7815.0,7200.0,1430,Fixed (20),1,0
0.0,1.0,0.0,40.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,8280.0,15.0,15.0,0.0,435.0,0.0,1465,Fixed (4),1,0
0.0,2.0,0.0,14.0,0.0,26.0,3.0,3.0,3.0,3.0,3.0,3.0,8280.0,10.0,15.0,0.0,455.0,0.0,1465,Fixed (4),1,0
0.0,3.0,0.0,0.0,39.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,8280.0,5.0,15.0,460.0,895.0,0.0,1465,Fixed (4),1,0
0.0,4.0,0.0,0.0,0.0,33.0,3.0,3.0,3.0,3.0,3.0,3.0,8280.0,5.0,15.0,0.0,475.0,0.0,1465,Fixed (4),1,0
0.0,5.0,0.0,40.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,6840.0,15.0,15.0,1440.0,1875.0,1440.0,1465,Fixed (4),1,0
0.0,6.0,0.0,19.0,0.0,21.0,3.0,3.0,3.0,3.0,3.0,3.0,6840.0,10.0,15.0,1440.0,1895.0,1440.0,1465,Fixed (4),1,0
0.0,7.0,0.0,0.0,40.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,6840.0,5.0,15.0,1900.0,2335.0,1440.0,1465,Fixed (4),1,0
0.0,8.0,0.0,0.0,12.0,28.0,3.0,3.0,3.0,3.0,3.0,3.0,6840.0,15.0,15.0,1900.0,2355.0,1440.0,1465,Fixed (4),1,0
0.0,9.0,0.0,0.0,0.0,40.0,3.0,3.0,3.0,3.0,3.0,3.0,6840.0,5.0,15.0,1440.0,1915.0,1440.0,1465,Fixed (4),1,0
0.0,10.0,0.0,0.0,0.0,40.0,3.0,3.0,3.0,3.0,3.0,3.0,6840.0,15.0,15.0,1470.0,1935.0,1440.0,1465,Fixed (4),1,0
0.0,11.0,0.0,0.0,0.0,15.0,3.0,3.0,3.0,3.0,3.0,3.0,6840.0,15.0,15.0,1470.0,2055.0,1440.0,1465,Fixed (4),1,0
0.0,12.0,0.0,40.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,5400.0,15.0,15.0,2880.0,3315.0,2880.0,1465,Fixed (4),1,0
0.0,13.0,0.0,27.0,0.0,13.0,3.0,3.0,3.0,3.0,3.0,3.0,5400.0,10.0,15.0,2880.0,3335.0,2880.0,1465,Fixed (4),1,0
0.0,14.0,0.0,0.0,40.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,5400.0,5.0,15.0,3340.0,3775.0,2880.0,1465,Fixed (4),1,0
0.0,15.0,0.0,0.0,40.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,5400.0,15.0,15.0,3340.0,3795.0,2880.0,1465,Fixed (4),1,0
0.0,16.0,0.0,0.0,11.0,29.0,3.0,3.0,3.0,3.0,3.0,3.0,5400.0,10.0,15.0,3340.0,3815.0,2880.0,1465,Fixed (4),1,0
0.0,17.0,0.0,0.0,0.0,40.0,3.0,3.0,3.0,3.0,3.0,3.0,5400.0,5.0,15.0,2880.0,3355.0,2880.0,1465,Fixed (4),1,0
0.0,18.0,0.0,0.0,0.0,40.0,3.0,3.0,3.0,3.0,3.0,3.0,5400.0,15.0,15.0,2910.0,3375.0,2880.0,1465,Fixed (4),1,0
0.0,19.0,0.0,0.0,0.0,40.0,3.0,3.0,3.0,3.0,3.0,3.0,5400.0,15.0,15.0,2910.0,3495.0,2880.0,1465,Fixed (4),1,0
0.0,20.0,0.0,0.0,0.0,6.0,3.0,3.0,3.0,3.0,3.0,3.0,5400.0,10.0,15.0,2910.0,3515.0,2880.0,1465,Fixed (4),1,0
0.0,21.0,0.0,40.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3960.0,15.0,15.0,4320.0,4755.0,4320.0,1465,Fixed (4),1,0
0.0,22.0,0.0,10.0,0.0,30.0,3.0,3.0,3.0,3.0,3.0,3.0,3960.0,10.0,15.0,4320.0,4775.0,4320.0,1465,Fixed (4),1,0
0.0,23.0,0.0,0.0,8.0,32.0,3.0,3.0,3.0,3.0,3.0,3.0,3960.0,5.0,15.0,4780.0,5215.0,4320.0,1465,Fixed (4),1,0
0.0,24.0,0.0,0.0,0.0,40.0,3.0,3.0,3.0,3.0,3.0,3.0,3960.0,5.0,15.0,4320.0,4795.0,4320.0,1465,Fixed (4),1,0
0.0,25.0,0.0,0.0,0.0,40.0,3.0,3.0,3.0,3.0,3.0,3.0,3960.0,15.0,15.0,4350.0,4815.0,4320.0,1465,Fixed (4),1,0
0.0,26.0,0.0,0.0,0.0,35.0,3.0,3.0,3.0,3.0,3.0,3.0,3960.0,15.0,15.0,4350.0,4935.0,4320.0,1465,Fixed (4),1,0
0.0,27.0,0.0,40.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,1080.0,15.0,15.0,7200.0,7635.0,7200.0,1465,Fixed (4),1,0
0.0,28.0,0.0,40.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,1080.0,10.0,15.0,7200.0,7655.0,7200.0,1465,Fixed (4),1,0
0.0,29.0,0.0,40.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,1080.0,5.0,15.0,7200.0,7675.0,7200.0,1465,Fixed (4),1,0
0.0,30.0,0.0,40.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,1080.0,15.0,15.0,7230.0,7695.0,7200.0,1465,Fixed (4),1,0
0.0,31.0,0.0,40.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,1080.0,15.0,15.0,7230.0,7815.0,7200.0,1465,Fixed (4),1,0
0.0,32.0,0.0,1.0,0.0,39.0,3.0,3.0,3.0,3.0,3.0,3.0,1080.0,10.0,15.0,7230.0,7835.0,7200.0,1465,Fixed (4),1,0
0.0,33.0,0.0,0.0,36.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,1080.0,5.0,15.0,7840.0,8275.0,7200.0,1465,Fixed (4),1,0
0.0,34.0,0.0,0.0,0.0,40.0,3.0,3.0,3.0,3.0,3.0,3.0,1080.0,5.0,15.0,7260.0,7855.0,7200.0,1465,Fixed (4),1,0
0.0,35.0,0.0,0.0,0.0,40.0,3.0,3.0,3.0,3.0,3.0,3.0,1080.0,15.0,15.0,7260.0,7875.0,7200.0,1465,Fixed (4),1,0
0.0,36.0,0.0,0.0,0.0,27.0,3.0,3.0,3.0,3.0,3.0,3.0,1080.0,15.0,15.0,7260.0,7995.0,7200.0,1465,Fixed (4),1,0
0.0,1.0,0.0,40.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,8160.0,15.0,15.0,0.0,435.0,0.0,1375,Hist Prev (20),1,0
0.0,2.0,0.0,3.0,0.0,37.0,3.0,3.0,3.0,3.0,3.0,3.0,8160.0,10.0,15.0,0.0,455.0,0.0,1375,Hist Prev (20),1,0
0.0,3.0,0.0,0.0,39.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,8160.0,5.0,15.0,460.0,895.0,0.0,1375,Hist Prev (20),1,0
0.0,4.0,0.0,0.0,0.0,22.0,3.0,3.0,3.0,3.0,3.0,3.0,8160.0,5.0,15.0,0.0,475.0,0.0,1375,Hist Prev (20),1,0
0.0,5.0,0.0,40.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,6720.0,15.0,15.0,1440.0,1875.0,1440.0,1375,Hist Prev (20),1,0
0.0,6.0,0.0,5.0,0.0,35.0,3.0,3.0,3.0,3.0,3.0,3.0,6720.0,10.0,15.0,1440.0,1895.0,1440.0,1375,Hist Prev (20),1,0
0.0,7.0,0.0,0.0,40.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,6720.0,5.0,15.0,1900.0,2335.0,1440.0,1375,Hist Prev (20),1,0
0.0,8.0,0.0,0.0,18.0,22.0,3.0,3.0,3.0,3.0,3.0,3.0,6720.0,15.0,15.0,1900.0,2355.0,1440.0,1375,Hist Prev (20),1,0
0.0,9.0,0.0,0.0,0.0,40.0,3.0,3.0,3.0,3.0,3.0,3.0,6720.0,5.0,15.0,1440.0,1915.0,1440.0,1375,Hist Prev (20),1,0
0.0,10.0,0.0,0.0,0.0,40.0,3.0,3.0,3.0,3.0,3.0,3.0,6720.0,15.0,15.0,1470.0,1935.0,1440.0,1375,Hist Prev (20),1,0
0.0,11.0,0.0,0.0,0.0,7.0,3.0,3.0,3.0,3.0,3.0,3.0,6720.0,15.0,15.0,1470.0,2055.0,1440.0,1375,Hist Prev (20),1,0
0.0,12.0,0.0,40.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,5280.0,15.0,15.0,2880.0,3315.0,2880.0,1375,Hist Prev (20),1,0
0.0,13.0,0.0,17.0,0.0,23.0,3.0,3.0,3.0,3.0,3.0,3.0,5280.0,10.0,15.0,2880.0,3335.0,2880.0,1375,Hist Prev (20),1,0
0.0,14.0,0.0,0.0,40.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,5280.0,5.0,15.0,3340.0,3775.0,2880.0,1375,Hist Prev (20),1,0
0.0,15.0,0.0,0.0,40.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,5280.0,15.0,15.0,3340.0,3795.0,2880.0,1375,Hist Prev (20),1,0
0.0,16.0,0.0,0.0,20.0,20.0,3.0,3.0,3.0,3.0,3.0,3.0,5280.0,10.0,15.0,3340.0,3815.0,2880.0,1375,Hist Prev (20),1,0
0.0,17.0,0.0,0.0,0.0,40.0,3.0,3.0,3.0,3.0,3.0,3.0,5280.0,5.0,15.0,2880.0,3355.0,2880.0,1375,Hist Prev (20),1,0
0.0,18.0,0.0,0.0,0.0,40.0,3.0,3.0,3.0,3.0,3.0,3.0,5280.0,15.0,15.0,2910.0,3375.0,2880.0,1375,Hist Prev (20),1,0
0.0,19.0,0.0,0.0,0.0,40.0,3.0,3.0,3.0,3.0,3.0,3.0,5280.0,15.0,15.0,2910.0,3495.0,2880.0,1375,Hist Prev (20),1,0
0.0,20.0,0.0,0.0,0.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,5280.0,10.0,15.0,2910.0,3515.0,2880.0,1375,Hist Prev (20),1,0
0.0,21.0,0.0,37.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3840.0,15.0,15.0,4320.0,4755.0,4320.0,1375,Hist Prev (20),1,0
0.0,22.0,0.0,0.0,8.0,32.0,3.0,3.0,3.0,3.0,3.0,3.0,3840.0,10.0,15.0,4760.0,5195.0,4320.0,1375,Hist Prev (20),1,0
0.0,23.0,0.0,0.0,0.0,40.0,3.0,3.0,3.0,3.0,3.0,3.0,3840.0,10.0,15.0,4320.0,4775.0,4320.0,1375,Hist Prev (20),1,0
0.0,24.0,0.0,0.0,0.0,40.0,3.0,3.0,3.0,3.0,3.0,3.0,3840.0,5.0,15.0,4320.0,4795.0,4320.0,1375,Hist Prev (20),1,0
0.0,25.0,0.0,0.0,0.0,40.0,3.0,3.0,3.0,3.0,3.0,3.0,3840.0,15.0,15.0,4350.0,4815.0,4320.0,1375,Hist Prev (20),1,0
0.0,26.0,0.0,0.0,0.0,23.0,3.0,3.0,3.0,3.0,3.0,3.0,3840.0,15.0,15.0,4350.0,4935.0,4320.0,1375,Hist Prev (20),1,0
0.0,27.0,0.0,40.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,960.0,15.0,15.0,7200.0,7635.0,7200.0,1375,Hist Prev (20),1,0
0.0,28.0,0.0,40.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,960.0,10.0,15.0,7200.0,7655.0,7200.0,1375,Hist Prev (20),1,0
0.0,29.0,0.0,40.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,960.0,5.0,15.0,7200.0,7675.0,7200.0,1375,Hist Prev (20),1,0
0.0,30.0,0.0,12.0,0.0,28.0,3.0,3.0,3.0,3.0,3.0,3.0,960.0,15.0,15.0,7230.0,7695.0,7200.0,1375,Hist Prev (20),1,0
0.0,31.0,0.0,0.0,40.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,960.0,10.0,15.0,7700.0,8135.0,7200.0,1375,Hist Prev (20),1,0
0.0,32.0,0.0,0.0,23.0,17.0,3.0,3.0,3.0,3.0,3.0,3.0,960.0,5.0,15.0,7700.0,8155.0,7200.0,1375,Hist Prev (20),1,0
0.0,33.0,0.0,0.0,0.0,40.0,3.0,3.0,3.0,3.0,3.0,3.0,960.0,15.0,15.0,7230.0,7815.0,7200.0,1375,Hist Prev (20),1,0
0.0,34.0,0.0,0.0,0.0,40.0,3.0,3.0,3.0,3.0,3.0,3.0,960.0,10.0,15.0,7230.0,7835.0,7200.0,1375,Hist Prev (20),1,0
0.0,35.0,0.0,0.0,0.0,25.0,3.0,3.0,3.0,3.0,3.0,3.0,960.0,5.0,15.0,7260.0,7855.0,7200.0,1375,Hist Prev (20),1,0
0.0,1.0,0.0,40.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,8280.0,15.0,15.0,0.0,435.0,0.0,1465,Hist Prev (4),1,0
0.0,2.0,0.0,14.0,0.0,26.0,3.0,3.0,3.0,3.0,3.0,3.0,8280.0,10.0,15.0,0.0,455.0,0.0,1465,Hist Prev (4),1,0
0.0,3.0,0.0,0.0,39.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,8280.0,5.0,15.0,460.0,895.0,0.0,1465,Hist Prev (4),1,0
0.0,4.0,0.0,0.0,0.0,33.0,3.0,3.0,3.0,3.0,3.0,3.0,8280.0,5.0,15.0,0.0,475.0,0.0,1465,Hist Prev (4),1,0
0.0,5.0,0.0,40.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,6840.0,15.0,15.0,1440.0,1875.0,1440.0,1465,Hist Prev (4),1,0
